EcoRegions Type,EcoRegionsEnvironment,CountryOcean
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Cameroon
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Central African Republic
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Côte d’Ivoire
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Democratic Republic of Congo
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Equatorial Guinea
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Gabon
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Ghana
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Guinea
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Kenya
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Liberia
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Nigeria
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Republic of Congo
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Reunion (France)
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Rwanda
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,São Tomé & Príncipe
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Seychelles
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Sierra Leone
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Somalia
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Tanzania
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Togo
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Uganda
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Angola
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Benin
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Burundi
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Cameroon
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Central African Republic
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Democratic Republic of Congo
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Kenya
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Madagascar
Tropical and Subtropical Moist Broadleaf Forests,Afrotropical,Mauritius
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Indonesia
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Papua New Guinea
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Australia
Tropical and Subtropical Moist Broadleaf Forests,Australasia,New Caledonia (France)
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Papua New Guinea
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Solomon Islands
Tropical and Subtropical Moist Broadleaf Forests,Australasia,Vanuatu
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,India
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Sri Lanka
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,China
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Hainan Moist Forests
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Cambodia
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Indonesia
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Philippines
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Karen / Tenasserim Moist Forests
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Brunei
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Japan
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Manipuri
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Laos
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Vietnam
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,China: Montane Forests- China
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Myanmar
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Malaysia
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Indonesia
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,India
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Thailand
Tropical and Subtropical Moist Broadleaf Forests,Indo-Malayan,Singapore
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Cuba
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Costa Rica
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Darién Moist Forests
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Colombia
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Venezuela
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Brazil
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Juruá Moist Forests
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Argentina
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Bolivia
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Dominican Republic
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Panama
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Ecuador
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,French Guiana (France)
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Colombia
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Bolivia
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Brazil
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Haiti
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Venezuela
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Guyana
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Peru
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Guayana
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Paraguay
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Jamaica
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Suriname
Tropical and Subtropical Moist Broadleaf Forests,Neotropical,Puerto Rico (United States)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,American Samoa (United States)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Hawaii (United States)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Cook Islands (New Zealand)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Fiji
Tropical and Subtropical Moist Broadleaf Forests,Oceania,French Polynesia (France)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Niue (New Zealand)
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Samoa
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Tonga
Tropical and Subtropical Moist Broadleaf Forests,Oceania,Wallis and Futuna Islands (France)
Tropical and Subtropical Dry Broadleaf Forests,Afrotropical,Madagascar
Tropical and Subtropical Dry Broadleaf Forests,Australasia,Indonesia
Tropical and Subtropical Dry Broadleaf Forests,Australasia,New Caledonia (France)
Tropical and Subtropical Dry Broadleaf Forests,Indo-Malayan,Cambodia
Tropical and Subtropical Dry Broadleaf Forests,Indo-Malayan,Laos
Tropical and Subtropical Dry Broadleaf Forests,Indo-Malayan,India
Tropical and Subtropical Dry Broadleaf Forests,Indo-Malayan,Thailand
Tropical and Subtropical Dry Broadleaf Forests,Indo-Malayan,Vietnam
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Guatemala
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Bolivia
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Brazil
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Mexico
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Colombia
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Ecuador
Tropical and Subtropical Dry Broadleaf Forests,Neotropical,Peru
Tropical and Subtropical Dry Broadleaf Forests,Oceania,Hawaii (United States)
Tropical and Subtropical Coniferous Forests,Nearctic,Mexico
Tropical and Subtropical Coniferous Forests,Nearctic,United States
Tropical and Subtropical Coniferous Forests,Neotropical,Dominican Republic
Tropical and Subtropical Coniferous Forests,Neotropical,Guatemala
Tropical and Subtropical Coniferous Forests,Neotropical,Haiti
Tropical and Subtropical Coniferous Forests,Neotropical,Honduras
Tropical and Subtropical Coniferous Forests,Neotropical,Cuba
Tropical and Subtropical Coniferous Forests,Neotropical,Mexico
Tropical and Subtropical Coniferous Forests,Neotropical,El Slalvador
Tropical and Subtropical Coniferous Forests,Neotropical,Nicaragua
Temperate Broadleaf and Mixed Forests,Australasia,Australia
Temperate Broadleaf and Mixed Forests,Australasia,New Zealand
Temperate Broadleaf and Mixed Forests,Indo-Malayan,Bhutan
Temperate Broadleaf and Mixed Forests,Indo-Malayan,Myanmar
Temperate Broadleaf and Mixed Forests,Indo-Malayan,Pakistan
Temperate Broadleaf and Mixed Forests,Indo-Malayan,India
Temperate Broadleaf and Mixed Forests,Indo-Malayan,Nepal
Temperate Broadleaf and Mixed Forests,Indo-Malayan,China
Temperate Broadleaf and Mixed Forests,Indo-Malayan,Afghanistan
Temperate Broadleaf and Mixed Forests,Nearctic,United States
Temperate Broadleaf and Mixed Forests,Palearctic,China
Temperate Broadleaf and Mixed Forests,Palearctic,Russia
Temperate Coniferous Forests,Nearctic,United States
Temperate Coniferous Forests,Nearctic,Canada
Temperate Coniferous Forests,Neotropical,Chile
Temperate Coniferous Forests,Neotropical,Argentina
Temperate Coniferous Forests,Palearctic,Albania
Temperate Coniferous Forests,Palearctic,Armenia
Temperate Coniferous Forests,Palearctic,China
Temperate Coniferous Forests,Palearctic,Algeria
Temperate Coniferous Forests,Palearctic,Azerbaijan
Temperate Coniferous Forests,Palearctic,Kazakstan
Temperate Coniferous Forests,Palearctic,Andorra
Temperate Coniferous Forests,Palearctic,Bulgaria
Temperate Coniferous Forests,Palearctic,Mongolia
Temperate Coniferous Forests,Palearctic,Austria
Temperate Coniferous Forests,Palearctic,Georgia
Temperate Coniferous Forests,Palearctic,Russia
Temperate Coniferous Forests,Palearctic,Bosnia and Herzegovina
Temperate Coniferous Forests,Palearctic,Iran
Temperate Coniferous Forests,Palearctic,Croatia
Temperate Coniferous Forests,Palearctic,Turkey
Temperate Coniferous Forests,Palearctic,Czech Republic
Temperate Coniferous Forests,Palearctic,Turkmenistan
Temperate Coniferous Forests,Palearctic,France
Temperate Coniferous Forests,Palearctic,Germany
Temperate Coniferous Forests,Palearctic,Greece
Temperate Coniferous Forests,Palearctic,Italy
Temperate Coniferous Forests,Palearctic,Liechtenstein
Temperate Coniferous Forests,Palearctic,Macedonia
Temperate Coniferous Forests,Palearctic,Morocco
Temperate Coniferous Forests,Palearctic,Poland
Temperate Coniferous Forests,Palearctic,Romania
Temperate Coniferous Forests,Palearctic,Slovakia
Temperate Coniferous Forests,Palearctic,Slovenia
Boreal Forests / Taiga,Nearctic,Canada
Boreal Forests / Taiga,Palearctic,Russia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Zimbabwe
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Uganda
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Zambia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Sudan
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Tanzania
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Kenya
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Namibia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Ethiopia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Mozambique
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Eritrea
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Malawi
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Democratic Republic of Congo
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Somalia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Nigeria
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Burundi
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Chad
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Botswana
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Central African Republic
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Angola
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Afrotropical,Cameroon
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Australasia,Australia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Australasia,Indonesia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Australasia,Papua New Guinea
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Indo-Malayan,Bhutan
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Indo-Malayan,Bangladesh
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Indo-Malayan,India
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Indo-Malayan,Nepal
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Neotropical,Colombia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Neotropical,Bolivia
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Neotropical,Paraguay
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Neotropical,Venezuela
"Tropical and Subtropical Grasslands, Savannas and Shrublands",Neotropical,Brazil
"Temperate Grasslands, Savannas and Shrublands",Nearctic,United States
"Temperate Grasslands, Savannas and Shrublands",Nearctic,Canada
"Temperate Grasslands, Savannas and Shrublands",Neotropical,Chile
"Temperate Grasslands, Savannas and Shrublands",Neotropical,Argentina
"Temperate Grasslands, Savannas and Shrublands",Palearctic,Mongolia
"Temperate Grasslands, Savannas and Shrublands",Palearctic,China
"Temperate Grasslands, Savannas and Shrublands",Palearctic,Russia
Flooded Grasslands and Savannas,Indo-Malayan,India
Flooded Grasslands and Savannas,Indo-Malayan,Pakistan
Flooded Grasslands and Savannas,Neotropical,Brazil
Flooded Grasslands and Savannas,Neotropical,Paraguay
Flooded Grasslands and Savannas,Neotropical,United States
Flooded Grasslands and Savannas,Neotropical,Bolivia
Flooded Grasslands and Savannas,Afrotropical,Chad
Flooded Grasslands and Savannas,Afrotropical,Botswana
Flooded Grasslands and Savannas,Afrotropical,Ethiopia
Flooded Grasslands and Savannas,Afrotropical,Democratic Republic of Congo
Flooded Grasslands and Savannas,Afrotropical,Mali
Flooded Grasslands and Savannas,Afrotropical,Malawi
Flooded Grasslands and Savannas,Afrotropical,Niger
Flooded Grasslands and Savannas,Afrotropical,Mozambique
Flooded Grasslands and Savannas,Afrotropical,Nigeria
Flooded Grasslands and Savannas,Afrotropical,Namibia
Flooded Grasslands and Savannas,Afrotropical,Sudan
Flooded Grasslands and Savannas,Afrotropical,Tanzania
Flooded Grasslands and Savannas,Afrotropical,Uganda
Flooded Grasslands and Savannas,Afrotropical,Zambia
Flooded Grasslands and Savannas,Afrotropical,Cameroon
Flooded Grasslands and Savannas,Afrotropical,Angola
Montane Grasslands and Shrublands,Afrotropical,Ethiopia
Montane Grasslands and Shrublands,Afrotropical,Mozambique
Montane Grasslands and Shrublands,Afrotropical,Kenya
Montane Grasslands and Shrublands,Afrotropical,South Africa
Montane Grasslands and Shrublands,Afrotropical,Sudan
Montane Grasslands and Shrublands,Afrotropical,Tanzania
Montane Grasslands and Shrublands,Afrotropical,Rwanda
Montane Grasslands and Shrublands,Afrotropical,Swaziland
Montane Grasslands and Shrublands,Afrotropical,Zambia
Montane Grasslands and Shrublands,Afrotropical,Uganda
Montane Grasslands and Shrublands,Afrotropical,Eritrea
Montane Grasslands and Shrublands,Afrotropical,Malawi
Montane Grasslands and Shrublands,Afrotropical,Democratic Republic of Congo
Montane Grasslands and Shrublands,Afrotropical,Lesotho
Montane Grasslands and Shrublands,Australasia,Indonesia
Montane Grasslands and Shrublands,Australasia,Papua New Guinea
Montane Grasslands and Shrublands,Indo-Malayan,Malaysia
Montane Grasslands and Shrublands,Neotropical,Colombia
Montane Grasslands and Shrublands,Neotropical,Argentina
Montane Grasslands and Shrublands,Neotropical,Ecuador
Montane Grasslands and Shrublands,Neotropical,Bolivia
Montane Grasslands and Shrublands,Neotropical,Peru
Montane Grasslands and Shrublands,Neotropical,Chile
Montane Grasslands and Shrublands,Neotropical,Venezuela
Montane Grasslands and Shrublands,Palearctic,Afghanistan
Montane Grasslands and Shrublands,Palearctic,Bhutan
Montane Grasslands and Shrublands,Palearctic,China
Montane Grasslands and Shrublands,Palearctic,India
Montane Grasslands and Shrublands,Palearctic,Kazakstan
Montane Grasslands and Shrublands,Palearctic,Pakistan
Montane Grasslands and Shrublands,Palearctic,Kyrgyzstan
Montane Grasslands and Shrublands,Palearctic,Myanmar
Montane Grasslands and Shrublands,Palearctic,Tajikistan
Montane Grasslands and Shrublands,Palearctic,Nepal
Montane Grasslands and Shrublands,Palearctic,Uzbekistan
Montane Grasslands and Shrublands,Palearctic,Turkmenistan
Montane Grasslands and Shrublands,Nearctic,Canada
Montane Grasslands and Shrublands,Nearctic,United States
Montane Grasslands and Shrublands,Palearctic,Russia
"Mediterranean Forests, Woodlands and Scrub",Afrotropical,South Africa
"Mediterranean Forests, Woodlands and Scrub",Australasia,Australia
"Mediterranean Forests, Woodlands and Scrub",Australasia,Australia
"Mediterranean Forests, Woodlands and Scrub",Nearctic,United States
"Mediterranean Forests, Woodlands and Scrub",Nearctic,Mexico
"Mediterranean Forests, Woodlands and Scrub",Neotropical,Chile
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Albania
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Algeria
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Bosnia and Herzegovina
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Bulgaria
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Canary Islands (Spain)
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Croatia
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Cyprus
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Egypt
"Mediterranean Forests, Woodlands and Scrub",Palearctic,France
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Gibraltar (United Kingdom)
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Greece
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Iraq
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Israel
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Italy
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Jordan
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Lebanon
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Libya
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Macedonia
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Madeira Islands (Portugal)
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Malta
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Monaco
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Morocco
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Portugal
"Mediterranean Forests, Woodlands and Scrub",Palearctic,San Marino
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Slovenia
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Spain
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Syria
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Tunisia
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Turkey
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Western Sahara (Morocco)
"Mediterranean Forests, Woodlands and Scrub",Palearctic,Yugoslavia
Deserts and Xeric Shrublands,Afrotropical,Angola
Deserts and Xeric Shrublands,Afrotropical,Madagascar
Deserts and Xeric Shrublands,Afrotropical,Yemen
Deserts and Xeric Shrublands,Afrotropical,Oman
Deserts and Xeric Shrublands,Afrotropical,Namibia
Deserts and Xeric Shrublands,Afrotropical,South Africa
Deserts and Xeric Shrublands,Afrotropical,Saudi Arabia
Deserts and Xeric Shrublands,Afrotropical,United Arab Emirates
Deserts and Xeric Shrublands,Australasia,Australia
Deserts and Xeric Shrublands,Nearctic,Mexico
Deserts and Xeric Shrublands,Nearctic,United States
Deserts and Xeric Shrublands,Neotropical,Peru
Deserts and Xeric Shrublands,Neotropical,Ecuador
Deserts and Xeric Shrublands,Neotropical,Chile
Deserts and Xeric Shrublands,Palearctic,Kazakstan
Deserts and Xeric Shrublands,Palearctic,Kyrgyzstan
Deserts and Xeric Shrublands,Palearctic,Uzbekistan
Deserts and Xeric Shrublands,Palearctic,Turkmenistan
Mangroves,Afrotropical,Cameroon
Mangroves,Afrotropical,Mozambique
Mangroves,Afrotropical,Democratic Republic of Congo
Mangroves,Afrotropical,Somalia
Mangroves,Afrotropical,Equatorial Guinea
Mangroves,Afrotropical,Tanzania
Mangroves,Afrotropical,Gabon
Mangroves,Afrotropical,Ghana
Mangroves,Afrotropical,Nigeria
Mangroves,Afrotropical,Angola
Mangroves,Afrotropical,Kenya
Mangroves,Afrotropical,Madagascar
Mangroves,Australasia,Papua New Guinea
Mangroves,Australasia,Indonesia
Mangroves,Indo-Malayan,India
Mangroves,Indo-Malayan,Indonesia
Mangroves,Indo-Malayan,Malaysia
Mangroves,Indo-Malayan,Bangladesh
Mangroves,Indo-Malayan,Brunei
Mangroves,Neotropical,Brazil
Mangroves,Neotropical,Colombia
Mangroves,Neotropical,French Guiana (France)
Mangroves,Neotropical,Ecuador
Mangroves,Neotropical,Suriname
Mangroves,Neotropical,Panama
Mangroves,Neotropical,Trinidad and Tobago
Mangroves,Neotropical,Peru
Mangroves,Neotropical,Venezuela
Polar Seas,Antarctic,Antarctic Peninsula & Weddell Sea
Polar Seas,Arctic,Bering Sea
Polar Seas,Arctic,Barents
Polar Seas,Arctic,Kara Sea
Temperate Shelfs and Seas,Mediterranean,Mediterranean Sea
Temperate Shelfs and Seas,North Temperate Atlantic,Northeast Atlantic Shelf Marine
Temperate Shelfs and Seas,North Temperate Atlantic,Grand Banks
Temperate Shelfs and Seas,North Temperate Atlantic,Chesapeake Bay
Temperate Shelfs and Seas,North Temperate Indo-Pacific,Yellow Sea
Temperate Shelfs and Seas,North Temperate Indo-Pacific,Okhotsk Sea
Temperate Shelfs and Seas,Southern Ocean,Patagonian Southwest Atlantic
Temperate Shelfs and Seas,Southern Ocean,Southern Australian Marine
Temperate Shelfs and Seas,Southern Ocean,New Zealand Marine
Temperate Upwelling,North Temperate Indo-Pacific,Californian Current
Temperate Upwelling,South Temperate Atlantic,Benguela Current
Temperate Upwelling,South Temperate Indo-Pacific,Humboldt Current
Temperate Upwelling,South Temperate Indo-Pacific,Agulhas Current
Tropical Upwelling,Central Indo-Pacific,Western Australian Marine
Tropical Upwelling,Eastern Indo-Pacific,Panama Bight
Tropical Upwelling,Eastern Indo-Pacific,Gulf of California
Tropical Upwelling,Eastern Indo-Pacific,Galápagos Marine
Tropical Upwelling,Eastern Tropical Atlantic,Canary Current
Tropical Coral,Central Indo-Pacific,Sulawesi Seas
Tropical Coral,Central Indo-Pacific,Solomon Seas
Tropical Coral,Central Indo-Pacific,Flores Sea
Tropical Coral,Central Indo-Pacific,New Caledonia Barrier Reef
Tropical Coral,Central Indo-Pacific,Great Barrier Reef
Tropical Coral,Central Indo-Pacific,Palau Marine
Tropical Coral,Central Indo-Pacific,Andaman Sea
Tropical Coral,Eastern Indo-Pacific,Tahitian Marine
Tropical Coral,Eastern Indo-Pacific,Hawaiian Marine
Tropical Coral,Eastern Indo-Pacific,Fiji Barrier Reef
Tropical Coral,Western Indo-Pacific,"Maldives, Chagos, Lakshadweep Atolls"
Tropical Coral,Western Indo-Pacific,Red Sea
Tropical Coral,Western Indo-Pacific,Arabian Sea
Tropical Coral,Western Indo-Pacific,East African Marine
Tropical Coral,Western Indo-Pacific,West Madagascar Marine
Tropical Coral,Western Tropical Atlantic,Mesoamerican Reef
Tropical Coral,Western Tropical Atlantic,Greater Antillean Marine
Tropical Coral,Western Tropical Atlantic,Southern Caribbean Sea
Tropical Coral,Western Tropical Atlantic,Northeast Brazil Shelf Marine
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
